time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
12150,1035.72,10.054,1247.02,381.814,106.059,85.6494,0,62.5523,0.941666,0.00292833,-0.0547462,0.0111112,0.453494,0.0250554,0.890838,5,77,-1,1,0,-0.610352,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
12200,1040.05,10.054,1250.09,382.961,106.378,88.9044,0,58.415,0.984118,0.0029559,-0.0546994,0.0116173,0.4723,0.0247998,0.881012,5,77,-1,1,0,-0.610352,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
12250,1044.53,10.054,1252.99,384.112,106.698,91.2837,0,55.2422,1.02647,0.00298769,-0.0546777,0.0121207,0.490849,0.0245467,0.870815,5,77,-1,1,0,-0.610352,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
12300,1049.13,10.054,1255.7,385.266,107.018,93.5504,0,51.9735,1.0689,0.00296207,-0.0547645,0.0126718,0.509213,0.0243148,0.860204,5,77,-1,1,0,-0.640869,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
12350,1053.86,10.054,1258.22,386.037,107.233,96.1984,0,47.3782,1.11067,0.0029343,-0.0546811,0.0131667,0.527066,0.0240021,0.849383,5,77,-0.00392157,1,0,-0.823975,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
12400,1058.69,10.051,1260.57,387.197,107.555,97.6333,0,45.1194,1.14486,0.00282052,-0.0522196,0.0129564,0.541523,0.0227086,0.840279,5,77,1,1,0,-1.09863,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
12450,1063.59,10.044,1262.8,388.36,107.878,99.016,0,42.819,1.16177,0.00262813,-0.0443679,0.0110745,0.548654,0.0192646,0.835754,5,78,1,1,0,-0.946045,True,True,0,0.0705882,-0.00784314,-0.00784314,0.0705882
12500,1068.54,10.031,1264.99,389.917,108.31,99.4129,0,42.9906,1.16154,0.00240199,-0.029451,0.00707514,0.548625,0.0129695,0.835938,5,78,1,1,0,-0.518799,True,True,0,0.0392157,-0.00784314,-0.00784314,0.0392157
12550,1073.5,10.016,1267.19,391.089,108.636,99.1706,0,44.3497,1.14904,0.00238419,-0.00646337,0.000755486,0.543432,0.00336065,0.839446,5,78,1,1,0,-0.213623,True,True,0,0.00784314,-0.00784314,-0.00784314,0.00784314
12600,1078.44,10.017,1269.47,392.264,108.962,98.9108,0,45.7098,1.12788,0.000858376,0.0161882,-0.00468912,0.534498,-0.00661131,0.845131,5,79,1,1,0,0.0305176,True,True,0,-0.00784314,0.00784314,0.00784314,-0.00784314
